value,designator,barcode,,mean,1.050757185,,,,
1.0286,J29_1,"	M0540064PI27407900A",,stdev,0.019031756,,,,
1.0441,J29_1,"	M0540064PI27407902Y",,UCL+ 3sigma,1.107852454,,,,
1.0693,J29_1,"	M0540064PI27407900F",,LCL- 3sigma,0.993661917,warning,,fail,
1.0808,J29_1,"	M0540064PI27407901E",,USL +4 sigma,1.126884211,upper ,107.24%,upper ,108.16%
1.0723,J29_1,"	M0540064PI27407901F",,LSL -4 sigma,0.97463016,lower  ,92.76%,lower ,92.29%
1.0687,J29_1,"	M0540064PI27407900W",,cpk,1.333333333,,, ,
1.0667,J29_1,"	M0540064PI27407900Y",,,,,,,
1.076,J29_1,"	M0540064PI27407900D",,,,,,,
1.0354,J29_1,"	M0540064PI27407901G",,,,,,,
1.1016,J29_1,"	M0540064PI27407900B",,,,,,,
1.0753,J29_1,"	M0540064PI27407900C",,,,,,,
1.1104,J29_1,"	M0540064PI274079001",,,,,,,
1.0462,J29_1,"	M0540064PI27407900Z",,,,,,,
1.073,J29_1,"	M0540064PI274079013",,,,,,,
1.0404,J29_1,"	M0540064PI27407900H",,,,,,,
1.0612,J29_1,"	M0540064PI274079017",,,,,,,
1.0703,J29_1,"	M0540064PI274079012",,,,,,,
1.0272,J29_1,"	M0540064PI274079010",,,,,,,
1.0626,J29_1,"	M0540064PI274079009",,,,,,,
1.063,J29_1,"	M0540064PI27407901K",,,,,,,
1.0662,J29_1,"	M0540064PI274079008",,,,,,,
1.0642,J29_1,"	M0540064PI274079007",,,,,,,
1.073,J29_1,"	M0540064PI274079016",,,,,,,
1.078,J29_1,"	M0540064PI274079003",,,,,,,
1.0356,J29_1,"	M0540064PI274079011",,,,,,,
1.0678,J29_1,"	M0540064PI27407900E",,,,,,,
1.0747,J29_1,"	M0540064PI27407900N",,,,,,,
1.0669,J29_1,"	M0540064PI274079033",,,,,,,
1.0592,J29_1,"	M0540064PI27407902X",,,,,,,
1.0692,J29_1,"	M0540064PI27407902U",,,,,,,
1.0646,J29_1,"	M0540064PI27407902N",,,,,,,
1.0763,J29_1,"	M0540064PI27407901X",,,,,,,
1.0569,J29_1,"	M0540064PI27407901W",,,,,,,
1.0926,J29_1,"	M0540064PI274079028",,,,,,,
1.0824,J29_1,"	M0540064PI27407901V",,,,,,,
1.0914,J29_1,"	M0540064PI274079019",,,,,,,
1.0716,J29_1,"	M0540064PI27407901M",,,,,,,
1.0727,J29_1,"	M0540064PI27407901P",,,,,,,
1.0816,J29_1,"	M0540064PI27407901U",,,,,,,
1.0389,J29_1,"	M0540064PI274079020",,,,,,,
1.0849,J29_1,"	M0540064PI27407900S",,,,,,,
1.0508,J29_1,"	M0540064PI27407900V",,,,,,,
