value,designator,barcode,,mean,0.160132146,,,,
0.1608,J29_1,"	M0540064PI27407900A",,stdev,0.008439121,,,,
0.1726,J29_1,"	M0540064PI27407902Y",,UCL+ 3sigma,0.185449508,,,,
0.1708,J29_1,"	M0540064PI27407900F",,LCL- 3sigma,0.134814784,warning,,fail,
0.156,J29_1,"	M0540064PI27407901E",,USL +4 sigma,0.193888629,upper ,121.08%,upper ,121.09%
0.1635,J29_1,"	M0540064PI27407901F",,LSL -4 sigma,0.126375663,lower  ,78.92%,lower ,83.24%
0.1549,J29_1,"	M0540064PI27407900W",,cpk,1.333333333,,, ,
0.1573,J29_1,"	M0540064PI27407900Y",,,,,,,
0.1717,J29_1,"	M0540064PI27407900D",,,,,,,
0.1685,J29_1,"	M0540064PI27407901G",,,,,,,
0.1642,J29_1,"	M0540064PI27407900B",,,,,,,
0.1683,J29_1,"	M0540064PI27407900C",,,,,,,
0.1604,J29_1,"	M0540064PI274079001",,,,,,,
0.1677,J29_1,"	M0540064PI27407900Z",,,,,,,
0.1562,J29_1,"	M0540064PI274079013",,,,,,,
0.1749,J29_1,"	M0540064PI27407900H",,,,,,,
0.1597,J29_1,"	M0540064PI274079017",,,,,,,
0.1531,J29_1,"	M0540064PI274079012",,,,,,,
0.1593,J29_1,"	M0540064PI274079010",,,,,,,
0.158,J29_1,"	M0540064PI274079009",,,,,,,
0.1591,J29_1,"	M0540064PI27407901K",,,,,,,
0.1571,J29_1,"	M0540064PI274079008",,,,,,,
0.1689,J29_1,"	M0540064PI274079007",,,,,,,
0.152,J29_1,"	M0540064PI274079016",,,,,,,
0.1567,J29_1,"	M0540064PI274079003",,,,,,,
0.1662,J29_1,"	M0540064PI274079011",,,,,,,
0.1667,J29_1,"	M0540064PI27407900E",,,,,,,
0.154,J29_1,"	M0540064PI27407900N",,,,,,,
0.1535,J29_1,"	M0540064PI274079033",,,,,,,
0.1709,J29_1,"	M0540064PI27407902X",,,,,,,
0.1577,J29_1,"	M0540064PI27407902U",,,,,,,
0.1681,J29_1,"	M0540064PI27407902N",,,,,,,
0.1543,J29_1,"	M0540064PI27407901X",,,,,,,
0.166,J29_1,"	M0540064PI27407901W",,,,,,,
0.155,J29_1,"	M0540064PI274079028",,,,,,,
0.1672,J29_1,"	M0540064PI27407901V",,,,,,,
0.1551,J29_1,"	M0540064PI274079019",,,,,,,
0.1639,J29_1,"	M0540064PI27407901M",,,,,,,
0.1551,J29_1,"	M0540064PI27407901P",,,,,,,
0.1566,J29_1,"	M0540064PI27407901U",,,,,,,
0.1711,J29_1,"	M0540064PI274079020",,,,,,,
0.1498,J29_1,"	M0540064PI27407900S",,,,,,,
0.1663,J29_1,"	M0540064PI27407900V",,,,,,,
0.1515,J29_1,"	M0540064PI27407901L",,,,,,,
0.1691,J29_1,"	M0540064PI274079023",,,,,,,
0.1502,J29_1,"	M0540064PI27407901N",,,,,,,
0.1611,J29_1,"	M0540064PI27407901J",,,,,,,
0.1539,J29_1,"	M0540064PI27407901R",,,,,,,
0.1596,J29_1,"	M0540064PI27407902T",,,,,,,
0.1622,J29_1,"	M0540064PI274079025",,,,,,,
0.1675,J29_1,"	M0540064PI27407902S",,,,,,,
0.1534,J29_1,"	M0540064PI27407902M",,,,,,,
0.1686,J29_1,"	M0540064PI27407904D",,,,,,,
0.1517,J29_1,"	M0540064PI27407903Z",,,,,,,
0.1699,J29_1,"	M0540064PI274079029",,,,,,,
0.1536,J29_1,"	M0540064PI27407901C",,,,,,,
0.1542,J29_1,"	M0540064PI274079036",,,,,,,
0.1671,J29_1,"	M0540064PI274079049",,,,,,,
0.1609,J29_1,"	M0540064PI27407904E",,,,,,,
0.1537,J29_1,"	M0540064PI27407904B",,,,,,,
0.1693,J29_1,"	M0540064PI27407903P",,,,,,,
0.1509,J29_1,"	M0540064PI27407902E",,,,,,,
0.1653,J29_1,"	M0540064PI27407902C",,,,,,,
0.1562,J29_1,"	M0540064PI27407902D",,,,,,,
0.1567,J29_1,"	M0540064PI27407902A",,,,,,,
0.1659,J29_1,"	M0540064PI27407904J",,,,,,,
0.1491,J29_1,"	M0540064PI274079021",,,,,,,
0.1622,J29_1,"	M0540064PI27407904K",,,,,,,
0.1594,J29_1,"	M0540064PI27407904M",,,,,,,
0.1633,J29_1,"	M0540064PI27407904N",,,,,,,
0.1588,J29_1,"	M0540064PI27407904G",,,,,,,
0.1681,J29_1,"	M0540064PI27407904H",,,,,,,
0.1589,J29_1,"	M0540064PI27407900J",,,,,,,
0.1674,J29_1,"	M0540064PI27407901D",,,,,,,
0.1558,J29_1,"	M0540064PI274079022",,,,,,,
0.1664,J29_1,"	M0540064PI274079026",,,,,,,
0.1709,J29_1,"	M0540064PI274079045",,,,,,,
0.1713,J29_1,"	M0540064PI27407904C",,,,,,,
0.1561,J29_1,"	M0540064PI27407904A",,,,,,,
0.1706,J29_1,"	M0540064PI27407902K",,,,,,,
0.1542,J29_1,"	M0540064PI27407902L",,,,,,,
0.161,J29_1,"	M0540064PI27407902J",,,,,,,
0.1552,J29_1,"	M0540064PI27407902V",,,,,,,
0.1699,J29_1,"	M0540064PI27407904F",,,,,,,
0.1597,J29_1,"	M0540064PI274079048",,,,,,,
0.1668,J29_1,"	M0540064PI274079042",,,,,,,
0.1571,J29_1,"	M0540064PI274079040",,,,,,,
0.169,J29_1,"	M0540064PI274079047",,,,,,,
0.1563,J29_1,"	M0540064PI274079043",,,,,,,
0.1674,J29_1,"	M0540064PI27407903Y",,,,,,,
0.1543,J29_1,"	M0540064PI274079046",,,,,,,
0.1733,J29_1,"	M0540064PI27407903U",,,,,,,
0.1575,J29_1,"	M0540064PI27407903R",,,,,,,
0.1733,J29_1,"	M0540064PI27407901Z",,,,,,,
0.1589,J29_1,"	M0540064PI27407903K",,,,,,,
0.1662,J29_1,"	M0540064PI27407903C",,,,,,,
0.1507,J29_1,"	M0540064PI27407903F",,,,,,,
0.1596,J29_1,"	M0540064PI27407903D",,,,,,,
0.1584,J29_1,"	M0540064PI27407902R",,,,,,,
0.1695,J29_1,"	M0540064PI274079044",,,,,,,
0.1518,J29_1,"	M0540064PI27407901S",,,,,,,
0.1525,J29_1,"	M0540064PI27407900A",,,,,,,
0.1748,J29_1,"	M0540064PI27407902Y",,,,,,,
0.1762,J29_1,"	M0540064PI27407900F",,,,,,,
0.1574,J29_1,"	M0540064PI27407901E",,,,,,,
0.1717,J29_1,"	M0540064PI27407901F",,,,,,,
0.155,J29_1,"	M0540064PI27407900W",,,,,,,
