value,designator,barcode,,mean,0.168316247,,,,
0.1654,J29_1,"	M0540064PI27407900A",,stdev,0.010369331,,,,
0.1803,J29_1,"	M0540064PI27407902Y",,UCL+ 3sigma,0.19942424,,,,
0.1827,J29_1,"	M0540064PI27407900F",,LCL- 3sigma,0.137208254,warning,,fail,
0.1686,J29_1,"	M0540064PI27407901E",,USL +4 sigma,0.209793571,upper ,124.64%,upper ,121.20%
0.1753,J29_1,"	M0540064PI27407901F",,LSL -4 sigma,0.126838923,lower  ,75.36%,lower ,83.12%
0.1655,J29_1,"	M0540064PI27407900W",,cpk,1.333333333,,, ,
0.1678,J29_1,"	M0540064PI27407900Y",,,,,,,
0.1847,J29_1,"	M0540064PI27407900D",,,,,,,
0.1744,J29_1,"	M0540064PI27407901G",,,,,,,
0.1809,J29_1,"	M0540064PI27407900B",,,,,,,
0.1809,J29_1,"	M0540064PI27407900C",,,,,,,
0.1781,J29_1,"	M0540064PI274079001",,,,,,,
0.1754,J29_1,"	M0540064PI27407900Z",,,,,,,
0.1676,J29_1,"	M0540064PI274079013",,,,,,,
0.182,J29_1,"	M0540064PI27407900H",,,,,,,
0.1695,J29_1,"	M0540064PI274079017",,,,,,,
0.1639,J29_1,"	M0540064PI274079012",,,,,,,
0.1636,J29_1,"	M0540064PI274079010",,,,,,,
0.1679,J29_1,"	M0540064PI274079009",,,,,,,
0.1692,J29_1,"	M0540064PI27407901K",,,,,,,
0.1675,J29_1,"	M0540064PI274079008",,,,,,,
0.1798,J29_1,"	M0540064PI274079007",,,,,,,
0.1631,J29_1,"	M0540064PI274079016",,,,,,,
0.1689,J29_1,"	M0540064PI274079003",,,,,,,
0.1721,J29_1,"	M0540064PI274079011",,,,,,,
0.178,J29_1,"	M0540064PI27407900E",,,,,,,
0.1655,J29_1,"	M0540064PI27407900N",,,,,,,
0.1638,J29_1,"	M0540064PI274079033",,,,,,,
0.181,J29_1,"	M0540064PI27407902X",,,,,,,
0.1686,J29_1,"	M0540064PI27407902U",,,,,,,
0.1789,J29_1,"	M0540064PI27407902N",,,,,,,
0.166,J29_1,"	M0540064PI27407901X",,,,,,,
0.1754,J29_1,"	M0540064PI27407901W",,,,,,,
0.1694,J29_1,"	M0540064PI274079028",,,,,,,
0.181,J29_1,"	M0540064PI27407901V",,,,,,,
0.1693,J29_1,"	M0540064PI274079019",,,,,,,
0.1757,J29_1,"	M0540064PI27407901M",,,,,,,
0.1664,J29_1,"	M0540064PI27407901P",,,,,,,
0.1694,J29_1,"	M0540064PI27407901U",,,,,,,
0.1778,J29_1,"	M0540064PI274079020",,,,,,,
0.1625,J29_1,"	M0540064PI27407900S",,,,,,,
0.1747,J29_1,"	M0540064PI27407900V",,,,,,,
0.1595,J29_1,"	M0540064PI27407901L",,,,,,,
0.1795,J29_1,"	M0540064PI274079023",,,,,,,
0.1621,J29_1,"	M0540064PI27407901N",,,,,,,
0.1715,J29_1,"	M0540064PI27407901J",,,,,,,
