value,designator,barcode,,mean,0.20337849,,,,
0.1934,U3_1,"	M0540064PI27407900A",,stdev,0.00838976,,,,
0.2068,U3_1,"	M0540064PI27407902Y",,UCL+ 3sigma,0.22854777,,,,
0.2061,U3_1,"	M0540064PI27407900F",,LCL- 3sigma,0.178209209,warning,,fail,
0.2052,U3_1,"	M0540064PI27407901E",,USL +4 sigma,0.23693753,upper ,116.50%,upper ,116.58%
0.2184,U3_1,"	M0540064PI27407901F",,LSL -4 sigma,0.169819449,lower  ,83.50%,lower ,82.75%
0.2127,U3_1,"	M0540064PI27407900W",,cpk,1.333333333,,, ,
0.193,U3_1,"	M0540064PI27407900Y",,,,,,,
0.1991,U3_1,"	M0540064PI27407900D",,,,,,,
0.1982,U3_1,"	M0540064PI27407901G",,,,,,,
0.2204,U3_1,"	M0540064PI27407900B",,,,,,,
0.2327,U3_1,"	M0540064PI27407900C",,,,,,,
0.2242,U3_1,"	M0540064PI274079001",,,,,,,
0.202,U3_1,"	M0540064PI27407900Z",,,,,,,
0.1973,U3_1,"	M0540064PI274079013",,,,,,,
0.2157,U3_1,"	M0540064PI27407900H",,,,,,,
0.203,U3_1,"	M0540064PI274079017",,,,,,,
0.2098,U3_1,"	M0540064PI274079012",,,,,,,
0.2029,U3_1,"	M0540064PI274079010",,,,,,,
0.2044,U3_1,"	M0540064PI274079009",,,,,,,
0.1896,U3_1,"	M0540064PI27407901K",,,,,,,
0.1981,U3_1,"	M0540064PI274079008",,,,,,,
0.1931,U3_1,"	M0540064PI274079007",,,,,,,
0.2179,U3_1,"	M0540064PI274079016",,,,,,,
0.2016,U3_1,"	M0540064PI274079003",,,,,,,
0.2132,U3_1,"	M0540064PI274079011",,,,,,,
0.2009,U3_1,"	M0540064PI27407900E",,,,,,,
0.1962,U3_1,"	M0540064PI27407900N",,,,,,,
0.2004,U3_1,"	M0540064PI274079033",,,,,,,
0.2028,U3_1,"	M0540064PI27407902X",,,,,,,
0.2152,U3_1,"	M0540064PI27407902U",,,,,,,
0.2167,U3_1,"	M0540064PI27407902N",,,,,,,
0.2053,U3_1,"	M0540064PI27407901X",,,,,,,
0.2073,U3_1,"	M0540064PI27407901W",,,,,,,
0.2031,U3_1,"	M0540064PI274079028",,,,,,,
0.2044,U3_1,"	M0540064PI27407901V",,,,,,,
0.1996,U3_1,"	M0540064PI274079019",,,,,,,
0.1922,U3_1,"	M0540064PI27407901M",,,,,,,
0.2024,U3_1,"	M0540064PI27407901P",,,,,,,
0.1921,U3_1,"	M0540064PI27407901U",,,,,,,
0.2001,U3_1,"	M0540064PI274079020",,,,,,,
0.1893,U3_1,"	M0540064PI27407900S",,,,,,,
0.2032,U3_1,"	M0540064PI27407900V",,,,,,,
0.2155,U3_1,"	M0540064PI27407901L",,,,,,,
0.216,U3_1,"	M0540064PI274079023",,,,,,,
0.1961,U3_1,"	M0540064PI27407901N",,,,,,,
0.2168,U3_1,"	M0540064PI27407901J",,,,,,,
0.2056,U3_1,"	M0540064PI27407901R",,,,,,,
0.2072,U3_1,"	M0540064PI27407902T",,,,,,,
0.2084,U3_1,"	M0540064PI274079025",,,,,,,
0.2043,U3_1,"	M0540064PI27407902S",,,,,,,
0.2059,U3_1,"	M0540064PI27407902M",,,,,,,
0.2097,U3_1,"	M0540064PI27407904D",,,,,,,
0.2078,U3_1,"	M0540064PI27407903Z",,,,,,,
0.1989,U3_1,"	M0540064PI274079029",,,,,,,
0.2095,U3_1,"	M0540064PI27407901C",,,,,,,
0.1934,U3_1,"	M0540064PI274079036",,,,,,,
0.1972,U3_1,"	M0540064PI274079049",,,,,,,
0.2147,U3_1,"	M0540064PI27407904E",,,,,,,
0.1996,U3_1,"	M0540064PI27407904B",,,,,,,
0.2014,U3_1,"	M0540064PI27407903P",,,,,,,
0.208,U3_1,"	M0540064PI27407902E",,,,,,,
0.1988,U3_1,"	M0540064PI27407902C",,,,,,,
0.2054,U3_1,"	M0540064PI27407902D",,,,,,,
0.2134,U3_1,"	M0540064PI27407902A",,,,,,,
0.2112,U3_1,"	M0540064PI27407904J",,,,,,,
0.2043,U3_1,"	M0540064PI274079021",,,,,,,
0.2079,U3_1,"	M0540064PI27407904K",,,,,,,
0.1992,U3_1,"	M0540064PI27407904M",,,,,,,
0.1983,U3_1,"	M0540064PI27407904N",,,,,,,
0.1988,U3_1,"	M0540064PI27407904G",,,,,,,
0.2063,U3_1,"	M0540064PI27407904H",,,,,,,
0.2024,U3_1,"	M0540064PI27407900J",,,,,,,
0.2017,U3_1,"	M0540064PI27407901D",,,,,,,
0.1969,U3_1,"	M0540064PI274079022",,,,,,,
0.2008,U3_1,"	M0540064PI274079026",,,,,,,
0.1934,U3_1,"	M0540064PI274079045",,,,,,,
0.2051,U3_1,"	M0540064PI27407904C",,,,,,,
0.2084,U3_1,"	M0540064PI27407904A",,,,,,,
0.2181,U3_1,"	M0540064PI27407902K",,,,,,,
0.2048,U3_1,"	M0540064PI27407902L",,,,,,,
0.2068,U3_1,"	M0540064PI27407902J",,,,,,,
0.2049,U3_1,"	M0540064PI27407902V",,,,,,,
0.1993,U3_1,"	M0540064PI27407904F",,,,,,,
0.2009,U3_1,"	M0540064PI274079048",,,,,,,
0.2108,U3_1,"	M0540064PI274079042",,,,,,,
0.2116,U3_1,"	M0540064PI274079040",,,,,,,
0.2025,U3_1,"	M0540064PI274079047",,,,,,,
0.2055,U3_1,"	M0540064PI274079043",,,,,,,
0.2056,U3_1,"	M0540064PI27407903Y",,,,,,,
0.2034,U3_1,"	M0540064PI274079046",,,,,,,
0.1942,U3_1,"	M0540064PI27407903U",,,,,,,
0.1947,U3_1,"	M0540064PI27407903R",,,,,,,
0.2087,U3_1,"	M0540064PI27407901Z",,,,,,,
0.2152,U3_1,"	M0540064PI27407903K",,,,,,,
0.208,U3_1,"	M0540064PI27407903C",,,,,,,
0.2208,U3_1,"	M0540064PI27407903F",,,,,,,
0.2061,U3_1,"	M0540064PI27407903D",,,,,,,
0.194,U3_1,"	M0540064PI27407902R",,,,,,,
0.2054,U3_1,"	M0540064PI274079044",,,,,,,
0.2094,U3_1,"	M0540064PI27407901S",,,,,,,
0.2064,U3_1,"	M0540064PI27407900A",,,,,,,
0.2132,U3_1,"	M0540064PI27407902Y",,,,,,,
0.1987,U3_1,"	M0540064PI27407900F",,,,,,,
0.214,U3_1,"	M0540064PI27407901E",,,,,,,
0.2108,U3_1,"	M0540064PI27407901F",,,,,,,
0.2034,U3_1,"	M0540064PI27407900W",,,,,,,
0.197,U3_1,"	M0540064PI27407900Y",,,,,,,
0.191,U3_1,"	M0540064PI27407900D",,,,,,,
0.1937,U3_1,"	M0540064PI27407901G",,,,,,,
0.2091,U3_1,"	M0540064PI27407900B",,,,,,,
0.2186,U3_1,"	M0540064PI27407900C",,,,,,,
0.2118,U3_1,"	M0540064PI274079001",,,,,,,
0.1891,U3_1,"	M0540064PI27407900Z",,,,,,,
0.2053,U3_1,"	M0540064PI274079013",,,,,,,
0.196,U3_1,"	M0540064PI27407900H",,,,,,,
0.1893,U3_1,"	M0540064PI274079017",,,,,,,
0.2132,U3_1,"	M0540064PI274079012",,,,,,,
0.194,U3_1,"	M0540064PI274079010",,,,,,,
0.1957,U3_1,"	M0540064PI274079009",,,,,,,
0.1841,U3_1,"	M0540064PI27407901K",,,,,,,
0.1992,U3_1,"	M0540064PI274079008",,,,,,,
0.1994,U3_1,"	M0540064PI274079007",,,,,,,
0.2111,U3_1,"	M0540064PI274079016",,,,,,,
0.1908,U3_1,"	M0540064PI274079003",,,,,,,
0.2054,U3_1,"	M0540064PI274079011",,,,,,,
0.1952,U3_1,"	M0540064PI27407900E",,,,,,,
