value,designator,barcode,,mean,0.028377573,,,,
0.0288,U3_1,"	M0540064PI27407900A",,stdev,0.001518672,,,,
0.0286,U3_1,"	M0540064PI27407902Y",,UCL+ 3sigma,0.032933588,,,,
0.0295,U3_1,"	M0540064PI27407900F",,LCL- 3sigma,0.023821558,warning,,fail,
0.0293,U3_1,"	M0540064PI27407901E",,USL +4 sigma,0.034452259,upper ,121.41%,upper ,128.98%
0.0295,U3_1,"	M0540064PI27407901F",,LSL -4 sigma,0.022302887,lower  ,78.59%,lower ,83.52%
0.029,U3_1,"	M0540064PI27407900W",,cpk,1.333333333,,, ,
0.0274,U3_1,"	M0540064PI27407900Y",,,,,,,
0.0278,U3_1,"	M0540064PI27407900D",,,,,,,
0.0275,U3_1,"	M0540064PI27407901G",,,,,,,
0.0329,U3_1,"	M0540064PI27407900B",,,,,,,
0.0315,U3_1,"	M0540064PI27407900C",,,,,,,
0.0334,U3_1,"	M0540064PI274079001",,,,,,,
0.0282,U3_1,"	M0540064PI27407900Z",,,,,,,
0.0278,U3_1,"	M0540064PI274079013",,,,,,,
0.0293,U3_1,"	M0540064PI27407900H",,,,,,,
0.0274,U3_1,"	M0540064PI274079017",,,,,,,
0.0282,U3_1,"	M0540064PI274079012",,,,,,,
0.0279,U3_1,"	M0540064PI274079010",,,,,,,
0.0299,U3_1,"	M0540064PI274079009",,,,,,,
0.0278,U3_1,"	M0540064PI27407901K",,,,,,,
0.0287,U3_1,"	M0540064PI274079008",,,,,,,
0.028,U3_1,"	M0540064PI274079007",,,,,,,
0.028,U3_1,"	M0540064PI274079016",,,,,,,
0.0293,U3_1,"	M0540064PI274079003",,,,,,,
0.0283,U3_1,"	M0540064PI274079011",,,,,,,
0.0287,U3_1,"	M0540064PI27407900E",,,,,,,
0.0278,U3_1,"	M0540064PI27407900N",,,,,,,
0.0276,U3_1,"	M0540064PI274079033",,,,,,,
0.0294,U3_1,"	M0540064PI27407902X",,,,,,,
0.0297,U3_1,"	M0540064PI27407902U",,,,,,,
0.0275,U3_1,"	M0540064PI27407902N",,,,,,,
0.029,U3_1,"	M0540064PI27407901X",,,,,,,
0.0285,U3_1,"	M0540064PI27407901W",,,,,,,
0.0284,U3_1,"	M0540064PI274079028",,,,,,,
0.0285,U3_1,"	M0540064PI27407901V",,,,,,,
0.0279,U3_1,"	M0540064PI274079019",,,,,,,
0.0262,U3_1,"	M0540064PI27407901M",,,,,,,
0.0287,U3_1,"	M0540064PI27407901P",,,,,,,
0.0272,U3_1,"	M0540064PI27407901U",,,,,,,
0.0279,U3_1,"	M0540064PI274079020",,,,,,,
0.028,U3_1,"	M0540064PI27407900S",,,,,,,
0.0288,U3_1,"	M0540064PI27407900V",,,,,,,
0.0289,U3_1,"	M0540064PI27407901L",,,,,,,
0.0316,U3_1,"	M0540064PI274079023",,,,,,,
0.0274,U3_1,"	M0540064PI27407901N",,,,,,,
0.0306,U3_1,"	M0540064PI27407901J",,,,,,,
0.0289,U3_1,"	M0540064PI27407901R",,,,,,,
0.0289,U3_1,"	M0540064PI27407902T",,,,,,,
