value,designator,barcode,,mean,0.180228396,,,,,0.2162
0.1584,UD8_1,"	M0540064PI27407900A",,stdev,0.014074976,,,,,0.214
0.1927,UD8_1,"	M0540064PI27407902Y",,UCL+ 3sigma,0.222453324,,,,,0.2129
0.1868,UD8_1,"	M0540064PI27407900F",,LCL- 3sigma,0.138003468,warning,,fail,,0.2125
0.1646,UD8_1,"	M0540064PI27407901E",,USL +4 sigma,0.2365283,upper ,131.24%,upper ,119.96%,0.2122
0.1865,UD8_1,"	M0540064PI27407901F",,LSL -4 sigma,0.123928492,lower  ,68.76%,lower ,55.65%,0.2114
0.1548,UD8_1,"	M0540064PI27407900W",,cpk,1.333333333,,, ,,0.2113
0.177,UD8_1,"	M0540064PI27407900Y",,,,,,,,0.2112
0.1946,UD8_1,"	M0540064PI27407900D",,,,,,,,0.211
0.1813,UD8_1,"	M0540064PI27407901G",,,,,,,,0.211
0.19,UD8_1,"	M0540064PI27407900B",,,,,,,,0.2109
0.1946,UD8_1,"	M0540064PI27407900C",,,,,,,,0.2107
0.1846,UD8_1,"	M0540064PI274079001",,,,,,,,0.2099
0.182,UD8_1,"	M0540064PI27407900Z",,,,,,,,0.2098
0.1899,UD8_1,"	M0540064PI274079013",,,,,,,,0.2097
0.147,UD8_1,"	M0540064PI27407900H",,,,,,,,0.2096
0.178,UD8_1,"	M0540064PI274079017",,,,,,,,0.209
0.1629,UD8_1,"	M0540064PI274079012",,,,,,,,0.2089
0.1763,UD8_1,"	M0540064PI274079010",,,,,,,,0.2089
0.1782,UD8_1,"	M0540064PI274079009",,,,,,,,0.2088
0.1749,UD8_1,"	M0540064PI27407901K",,,,,,,,0.2087
0.1651,UD8_1,"	M0540064PI274079008",,,,,,,,0.2085
0.1841,UD8_1,"	M0540064PI274079007",,,,,,,,0.2085
0.1789,UD8_1,"	M0540064PI274079016",,,,,,,,0.2085
0.188,UD8_1,"	M0540064PI274079003",,,,,,,,0.2084
0.1856,UD8_1,"	M0540064PI274079011",,,,,,,,0.2084
0.1794,UD8_1,"	M0540064PI27407900E",,,,,,,,0.2084
0.1441,UD8_1,"	M0540064PI27407900N",,,,,,,,0.2084
0.1792,UD8_1,"	M0540064PI274079033",,,,,,,,0.2083
0.1977,UD8_1,"	M0540064PI27407902X",,,,,,,,0.2082
0.1643,UD8_1,"	M0540064PI27407902U",,,,,,,,0.208
0.179,UD8_1,"	M0540064PI27407902N",,,,,,,,0.208
0.1862,UD8_1,"	M0540064PI27407901X",,,,,,,,0.2079
0.1893,UD8_1,"	M0540064PI27407901W",,,,,,,,0.2079
0.1651,UD8_1,"	M0540064PI274079028",,,,,,,,0.2078
0.1831,UD8_1,"	M0540064PI27407901V",,,,,,,,0.2078
0.1807,UD8_1,"	M0540064PI274079019",,,,,,,,0.2077
0.1345,UD8_1,"	M0540064PI27407901M",,,,,,,,0.2076
0.1943,UD8_1,"	M0540064PI27407901P",,,,,,,,0.2075
0.1929,UD8_1,"	M0540064PI27407901U",,,,,,,,0.2074
0.1919,UD8_1,"	M0540064PI274079020",,,,,,,,0.2074
0.1755,UD8_1,"	M0540064PI27407900S",,,,,,,,0.2074
0.189,UD8_1,"	M0540064PI27407900V",,,,,,,,0.2073
0.1753,UD8_1,"	M0540064PI27407901L",,,,,,,,0.2069
0.18,UD8_1,"	M0540064PI274079023",,,,,,,,0.2068
0.1812,UD8_1,"	M0540064PI27407901N",,,,,,,,0.2068
0.1994,UD8_1,"	M0540064PI27407901J",,,,,,,,0.2068
0.1561,UD8_1,"	M0540064PI27407901R",,,,,,,,0.2067
0.1886,UD8_1,"	M0540064PI27407902T",,,,,,,,0.2067
0.1944,UD8_1,"	M0540064PI274079025",,,,,,,,0.2066
0.1932,UD8_1,"	M0540064PI27407902S",,,,,,,,0.2066
0.1944,UD8_1,"	M0540064PI27407902M",,,,,,,,0.2065
0.2013,UD8_1,"	M0540064PI27407904D",,,,,,,,0.2065
0.1678,UD8_1,"	M0540064PI27407903Z",,,,,,,,0.2064
0.1767,UD8_1,"	M0540064PI274079029",,,,,,,,0.2064
0.1767,UD8_1,"	M0540064PI27407901C",,,,,,,,0.2064
0.1847,UD8_1,"	M0540064PI274079036",,,,,,,,0.2064
0.1821,UD8_1,"	M0540064PI274079049",,,,,,,,0.2062
0.1873,UD8_1,"	M0540064PI27407904E",,,,,,,,0.2062
0.1888,UD8_1,"	M0540064PI27407904B",,,,,,,,0.206
0.1913,UD8_1,"	M0540064PI27407903P",,,,,,,,0.2059
0.1818,UD8_1,"	M0540064PI27407902E",,,,,,,,0.2059
0.1949,UD8_1,"	M0540064PI27407902C",,,,,,,,0.2058
0.1764,UD8_1,"	M0540064PI27407902D",,,,,,,,0.2057
0.1629,UD8_1,"	M0540064PI27407902A",,,,,,,,0.2057
0.2036,UD8_1,"	M0540064PI27407904J",,,,,,,,0.2056
0.1931,UD8_1,"	M0540064PI274079021",,,,,,,,0.2055
0.1871,UD8_1,"	M0540064PI27407904K",,,,,,,,0.2055
0.1686,UD8_1,"	M0540064PI27407904M",,,,,,,,0.2055
0.1896,UD8_1,"	M0540064PI27407904N",,,,,,,,0.2055
0.1922,UD8_1,"	M0540064PI27407904G",,,,,,,,0.2055
0.194,UD8_1,"	M0540064PI27407904H",,,,,,,,0.2055
0.1799,UD8_1,"	M0540064PI27407900J",,,,,,,,0.2054
0.1819,UD8_1,"	M0540064PI27407901D",,,,,,,,0.2053
0.1734,UD8_1,"	M0540064PI274079022",,,,,,,,0.2053
0.1506,UD8_1,"	M0540064PI274079026",,,,,,,,0.2053
0.1868,UD8_1,"	M0540064PI274079045",,,,,,,,0.2052
0.18,UD8_1,"	M0540064PI27407904C",,,,,,,,0.2052
0.1407,UD8_1,"	M0540064PI27407904A",,,,,,,,0.2052
0.1847,UD8_1,"	M0540064PI27407902K",,,,,,,,0.2051
0.1749,UD8_1,"	M0540064PI27407902L",,,,,,,,0.205
0.1734,UD8_1,"	M0540064PI27407902J",,,,,,,,0.205
0.1623,UD8_1,"	M0540064PI27407902V",,,,,,,,0.2049
0.16,UD8_1,"	M0540064PI27407904F",,,,,,,,0.2049
0.177,UD8_1,"	M0540064PI274079048",,,,,,,,0.2047
0.1997,UD8_1,"	M0540064PI274079042",,,,,,,,0.2047
0.1717,UD8_1,"	M0540064PI274079040",,,,,,,,0.2047
0.1931,UD8_1,"	M0540064PI274079047",,,,,,,,0.2047
0.1774,UD8_1,"	M0540064PI274079043",,,,,,,,0.2046
0.1951,UD8_1,"	M0540064PI27407903Y",,,,,,,,0.2046
0.187,UD8_1,"	M0540064PI274079046",,,,,,,,0.2046
0.19,UD8_1,"	M0540064PI27407903U",,,,,,,,0.2046
0.1721,UD8_1,"	M0540064PI27407903R",,,,,,,,0.2045
0.1969,UD8_1,"	M0540064PI27407901Z",,,,,,,,0.2045
0.191,UD8_1,"	M0540064PI27407903K",,,,,,,,0.2045
0.1896,UD8_1,"	M0540064PI27407903C",,,,,,,,0.2044
0.1899,UD8_1,"	M0540064PI27407903F",,,,,,,,0.2044
0.1964,UD8_1,"	M0540064PI27407903D",,,,,,,,0.2043
0.1909,UD8_1,"	M0540064PI27407902R",,,,,,,,0.2043
0.1697,UD8_1,"	M0540064PI274079044",,,,,,,,0.2042
0.1799,UD8_1,"	M0540064PI27407901S",,,,,,,,0.2041
0.1643,UD8_1,"	M0540064PI27407900A",,,,,,,,0.2041
0.189,UD8_1,"	M0540064PI27407902Y",,,,,,,,0.2041
0.1857,UD8_1,"	M0540064PI27407900F",,,,,,,,0.2041
0.172,UD8_1,"	M0540064PI27407901E",,,,,,,,0.2041
