value,designator,barcode,,mean,0.164993062,,,,
0.1767,UD8_1,"	M0540064PI27407900A",,stdev,0.015512552,,,,
0.1603,UD8_1,"	M0540064PI27407902Y",,UCL+ 3sigma,0.211530717,,,,
0.1567,UD8_1,"	M0540064PI27407900F",,LCL- 3sigma,0.118455408,warning,,fail,
0.1602,UD8_1,"	M0540064PI27407901E",,USL +4 sigma,0.227043269,upper ,137.61%,upper ,152.92%
0.1514,UD8_1,"	M0540064PI27407901F",,LSL -4 sigma,0.102942856,lower  ,62.39%,lower ,74.97%
0.1571,UD8_1,"	M0540064PI27407900W",,cpk,1.333333333,,, ,
0.1791,UD8_1,"	M0540064PI27407900Y",,,,,,,
0.1532,UD8_1,"	M0540064PI27407900D",,,,,,,
0.1557,UD8_1,"	M0540064PI27407901G",,,,,,,
0.1583,UD8_1,"	M0540064PI27407900B",,,,,,,
0.1565,UD8_1,"	M0540064PI27407900C",,,,,,,
0.1579,UD8_1,"	M0540064PI274079001",,,,,,,
0.1648,UD8_1,"	M0540064PI27407900Z",,,,,,,
0.1616,UD8_1,"	M0540064PI274079013",,,,,,,
0.2011,UD8_1,"	M0540064PI27407900H",,,,,,,
0.1595,UD8_1,"	M0540064PI274079017",,,,,,,
0.1755,UD8_1,"	M0540064PI274079012",,,,,,,
0.1657,UD8_1,"	M0540064PI274079010",,,,,,,
0.1535,UD8_1,"	M0540064PI274079009",,,,,,,
0.1603,UD8_1,"	M0540064PI27407901K",,,,,,,
0.1394,UD8_1,"	M0540064PI274079008",,,,,,,
0.1514,UD8_1,"	M0540064PI274079007",,,,,,,
0.1565,UD8_1,"	M0540064PI274079016",,,,,,,
0.133,UD8_1,"	M0540064PI274079003",,,,,,,
0.1635,UD8_1,"	M0540064PI274079011",,,,,,,
0.1566,UD8_1,"	M0540064PI27407900E",,,,,,,
0.1983,UD8_1,"	M0540064PI27407900N",,,,,,,
0.1686,UD8_1,"	M0540064PI274079033",,,,,,,
0.1394,UD8_1,"	M0540064PI27407902X",,,,,,,
0.1833,UD8_1,"	M0540064PI27407902U",,,,,,,
0.1548,UD8_1,"	M0540064PI27407902N",,,,,,,
0.1475,UD8_1,"	M0540064PI27407901X",,,,,,,
0.1551,UD8_1,"	M0540064PI27407901W",,,,,,,
0.1724,UD8_1,"	M0540064PI274079028",,,,,,,
0.1661,UD8_1,"	M0540064PI27407901V",,,,,,,
0.155,UD8_1,"	M0540064PI274079019",,,,,,,
0.2251,UD8_1,"	M0540064PI27407901M",,,,,,,
0.1435,UD8_1,"	M0540064PI27407901P",,,,,,,
0.1637,UD8_1,"	M0540064PI27407901U",,,,,,,
0.156,UD8_1,"	M0540064PI274079020",,,,,,,
0.1548,UD8_1,"	M0540064PI27407900S",,,,,,,
0.1553,UD8_1,"	M0540064PI27407900V",,,,,,,
0.1459,UD8_1,"	M0540064PI27407901L",,,,,,,
0.1816,UD8_1,"	M0540064PI274079023",,,,,,,
0.1551,UD8_1,"	M0540064PI27407901N",,,,,,,
0.1435,UD8_1,"	M0540064PI27407901J",,,,,,,
0.1729,UD8_1,"	M0540064PI27407901R",,,,,,,
0.1481,UD8_1,"	M0540064PI27407902T",,,,,,,
0.1501,UD8_1,"	M0540064PI274079025",,,,,,,
0.144,UD8_1,"	M0540064PI27407902S",,,,,,,
0.1627,UD8_1,"	M0540064PI27407902M",,,,,,,
0.1495,UD8_1,"	M0540064PI27407904D",,,,,,,
0.1809,UD8_1,"	M0540064PI27407903Z",,,,,,,
0.1651,UD8_1,"	M0540064PI274079029",,,,,,,
0.1553,UD8_1,"	M0540064PI27407901C",,,,,,,
0.146,UD8_1,"	M0540064PI274079036",,,,,,,
