value,designator,barcode,,mean,0.0296015,,,,
0.028,UD8_1,"	M0540064PI27407900A",,stdev,0.002253965,,,,
0.0309,UD8_1,"	M0540064PI27407902Y",,UCL+ 3sigma,0.036363394,,,,
0.0293,UD8_1,"	M0540064PI27407900F",,LCL- 3sigma,0.022839606,warning,,fail,
0.0264,UD8_1,"	M0540064PI27407901E",,USL +4 sigma,0.038617358,upper ,130.46%,upper ,126.01%
0.0282,UD8_1,"	M0540064PI27407901F",,LSL -4 sigma,0.020585642,lower  ,69.54%,lower ,62.50%
0.0243,UD8_1,"	M0540064PI27407900W",,cpk,1.333333333,,, ,
0.0317,UD8_1,"	M0540064PI27407900Y",,,,,,,
0.0298,UD8_1,"	M0540064PI27407900D",,,,,,,
0.0282,UD8_1,"	M0540064PI27407901G",,,,,,,
0.0301,UD8_1,"	M0540064PI27407900B",,,,,,,
0.0305,UD8_1,"	M0540064PI27407900C",,,,,,,
0.0291,UD8_1,"	M0540064PI274079001",,,,,,,
0.03,UD8_1,"	M0540064PI27407900Z",,,,,,,
0.0307,UD8_1,"	M0540064PI274079013",,,,,,,
0.0296,UD8_1,"	M0540064PI27407900H",,,,,,,
0.0284,UD8_1,"	M0540064PI274079017",,,,,,,
0.0286,UD8_1,"	M0540064PI274079012",,,,,,,
0.0292,UD8_1,"	M0540064PI274079010",,,,,,,
0.0273,UD8_1,"	M0540064PI274079009",,,,,,,
0.028,UD8_1,"	M0540064PI27407901K",,,,,,,
0.023,UD8_1,"	M0540064PI274079008",,,,,,,
0.0279,UD8_1,"	M0540064PI274079007",,,,,,,
0.028,UD8_1,"	M0540064PI274079016",,,,,,,
0.025,UD8_1,"	M0540064PI274079003",,,,,,,
0.0303,UD8_1,"	M0540064PI274079011",,,,,,,
0.0281,UD8_1,"	M0540064PI27407900E",,,,,,,
0.0286,UD8_1,"	M0540064PI27407900N",,,,,,,
0.0302,UD8_1,"	M0540064PI274079033",,,,,,,
0.0276,UD8_1,"	M0540064PI27407902X",,,,,,,
0.0301,UD8_1,"	M0540064PI27407902U",,,,,,,
0.0277,UD8_1,"	M0540064PI27407902N",,,,,,,
0.0275,UD8_1,"	M0540064PI27407901X",,,,,,,
0.0294,UD8_1,"	M0540064PI27407901W",,,,,,,
0.0285,UD8_1,"	M0540064PI274079028",,,,,,,
